id,legacy_id,question,options,answer,type,year,chapter,cluster_assignment,attributes,flags,stats,links,verification_status,metadata,created_at,updated_at
019d5409-ba2e-74aa-9824-a88c1c519db8,01504fdb-fbb8-4aa4-9b2a-f432b9db11eb,"{""text"": ""The least value of $ \\alpha \\in \\mathbb{R} $ for which $ 4\\alpha x^2 + \\frac{1}{x} \\ge 1 $, for all $ x > 0 $. is"", ""image_url"": """"}","{""A"": {""text"": ""$\\frac{1}{64}$"", ""image_url"": """"}, ""B"": {""text"": ""$\\frac{1}{32}$"", ""image_url"": """"}, ""C"": {""text"": ""$\\frac{1}{27}$"", ""image_url"": """"}, ""D"": {""text"": ""$\\frac{1}{25}$"", ""image_url"": """"}}",C,PYQ,2016,AOD,AOD-Calculus,"{""difficulty"": """", ""extra_param"": """", ""additional_param"": ""2016_1""}","{""calc"": false, ""scary"": false, ""multi_concept"": false}","{""freq"": 0}",,review,"{""legacy_a"": """", ""legacy_b"": """", ""legacy_c"": """", ""legacy_d"": """", ""extra_info"": """", ""topic_tags"": null, ""parent_exam"": null, ""legacy_table"": ""jee_questions"", ""question_type"": ""div1"", ""legacy_question"": """", ""legacy_solution"": """", ""importance_level"": ""core"", ""related_concepts"": null, ""jee_mains_relevance"": null, ""verification_level_2"": ""pending""}",2026-04-03T21:20:16.921550+05:30,2026-04-20T05:08:58.745905+05:30
019d5409-ba39-7ac2-804e-699f6d5ba471,494903e9-98f5-4afd-99b4-03a12102e2e4,"{""text"": ""The isotope ${}_5^{12}\\text{B}$ having a mass $12.014 \\text{ u}$ undergoes $\\beta$-decay to ${}_6^{12}\\text{C}$. ${}_6^{12}\\text{C}$ has an excited state of the nucleus $({}_6^{12}\\text{C}^*)$ at $4.041 \\text{ MeV}$ above its ground state. If ${}_5^{12}\\text{B}$ decays to ${}_6^{12}\\text{C}^*$, the maximum kinetic energy of the $\\beta$-particle in units of $\\text{MeV}$ is ($1\\text{u} = 931.5 \\text{ MeV/c}^2$, where $c$ is the speed of light in vacuum)."", ""image_url"": """"}","{""A"": {""text"": """", ""image_url"": """"}, ""B"": {""text"": """", ""image_url"": """"}, ""C"": {""text"": """", ""image_url"": """"}, ""D"": {""text"": """", ""image_url"": """"}}",9,PYQ,2016,NUC,ATM-Nuclear_Physics,"{""difficulty"": """", ""extra_param"": """", ""additional_param"": ""2016_1""}","{""calc"": false, ""scary"": false, ""multi_concept"": false}","{""freq"": 0}",,pending,"{""legacy_a"": """", ""legacy_b"": """", ""legacy_c"": """", ""legacy_d"": """", ""extra_info"": """", ""topic_tags"": null, ""parent_exam"": null, ""legacy_table"": ""jee_questions"", ""question_type"": ""div2"", ""legacy_question"": """", ""legacy_solution"": """", ""importance_level"": ""core"", ""related_concepts"": null, ""jee_mains_relevance"": null, ""verification_level_2"": ""pending""}",2026-04-03T21:20:16.921550+05:30,2026-04-20T05:08:33.264548+05:30
019d5409-ba3f-7f62-adfd-6d2e0e1d73c0,845d6644-d96e-4237-b635-81e8f5ae2696,"{""text"": ""The compound(s) with TWO lone pairs of electrons on the central atom is(are):"", ""image_url"": """"}","{""A"": {""text"": ""$\\text{BrF}_5$"", ""image_url"": """"}, ""B"": {""text"": ""$\\text{ClF}_3$"", ""image_url"": """"}, ""C"": {""text"": ""$\\text{XeF}_4$"", ""image_url"": """"}, ""D"": {""text"": ""$\\text{SF}_4$"", ""image_url"": """"}}","B, C",PYQ,2016,CBM,CBM-Molecular_Geometry,"{""difficulty"": """", ""extra_param"": """", ""additional_param"": ""2016_1""}","{""calc"": false, ""scary"": false, ""multi_concept"": false}","{""freq"": 0}",,pending,"{""legacy_a"": """", ""legacy_b"": """", ""legacy_c"": """", ""legacy_d"": """", ""extra_info"": """", ""topic_tags"": null, ""parent_exam"": null, ""legacy_table"": ""jee_questions"", ""question_type"": ""div8"", ""legacy_question"": """", ""legacy_solution"": ""https://app-content.cdn.examgoal.net/fly/@width/image/1li8e6xkw/76812da2-7dd9-4e57-8874-41daa2c34211/48939800-fddf-11ed-92b4-7b751324e4d8/file-1li8e6xkx.png?format=png"", ""importance_level"": ""core"", ""related_concepts"": null, ""jee_mains_relevance"": null, ""verification_level_2"": ""pending""}",2026-04-03T21:20:16.921550+05:30,2026-04-20T05:08:55.290090+05:30
019d5409-ba43-7efd-a940-b17d48ad44fd,4ab4ab91-3ee0-4425-80cb-f668588bd024,"{""text"": ""A plot of the number of neutrons ($N$) against the number of protons ($P$) of stable nuclei exhibits upward deviation from linearity for atomic number, $Z > 20$. For an unstable nucleus having $N/P$ ratio less than $1$, the possible mode(s) of decay is(are):"", ""image_url"": """"}","{""A"": {""text"": ""$\\beta^-$-decay ($\\beta$ emission)"", ""image_url"": """"}, ""B"": {""text"": ""orbital or K-electron capture"", ""image_url"": """"}, ""C"": {""text"": ""neutron emission"", ""image_url"": """"}, ""D"": {""text"": ""$\\beta^+$-decay (positron emission)"", ""image_url"": """"}}","B, D",PYQ,2016,CHK,CHK-Kinetic_Theory,"{""difficulty"": """", ""extra_param"": """", ""additional_param"": ""2016_1""}","{""calc"": false, ""scary"": false, ""multi_concept"": false}","{""freq"": 0}",,pending,"{""legacy_a"": """", ""legacy_b"": """", ""legacy_c"": """", ""legacy_d"": """", ""extra_info"": """", ""topic_tags"": null, ""parent_exam"": null, ""legacy_table"": ""jee_questions"", ""question_type"": ""div8"", ""legacy_question"": ""https://app-content.cdn.examgoal.net/fly/@width/image/1l13lh7vf/57033890-fe1f-4aa7-b7c5-cd1495c239d3/2dd58eb0-aaac-11ec-a1ba-7b8847ede30d/file-1l13lh7vg.png?format=png"", ""legacy_solution"": ""https://app-content.cdn.examgoal.net/fly/@width/image/1li7c1y9r/71e5862c-9c5d-497b-bec1-3874ea0a56a1/23283c00-fd4a-11ed-9cd2-058c7b5f35bd/file-1li7c1y9s.png?format=png"", ""importance_level"": ""core"", ""related_concepts"": null, ""jee_mains_relevance"": null, ""verification_level_2"": ""pending""}",2026-04-03T21:20:16.921550+05:30,2026-04-20T05:08:55.750044+05:30
019d5409-ba4b-774b-b60c-fd0f9371b7b6,b472a00b-2361-4ae1-a2a6-5ae73e6d154b,"{""text"": ""Among $\\left[\\mathrm{Ni}(\\mathrm{CO})_4\\right]$, $\\left[\\mathrm{NiCl}_4\\right]^{2-}$, $\\left[\\mathrm{Co}\\left(\\mathrm{NH}_3\\right)_4 \\mathrm{Cl}_2\\right] \\mathrm{Cl}$, $\\mathrm{Na}_3\\left[\\mathrm{CoF}_6\\right]$, $\\mathrm{Na}_2\\mathrm{O}_2$ and $\\mathrm{CsO}_2$, the total number of paramagnetic compound is"", ""image_url"": """"}","{""A"": {""text"": ""2"", ""image_url"": """"}, ""B"": {""text"": ""3"", ""image_url"": """"}, ""C"": {""text"": ""4"", ""image_url"": """"}, ""D"": {""text"": ""5"", ""image_url"": """"}}",B,PYQ,2016,COC,COC-Coordination_Chemistry_2,"{""difficulty"": """", ""extra_param"": """", ""additional_param"": ""2016_1""}","{""calc"": false, ""scary"": false, ""multi_concept"": false}","{""freq"": 0}",,review,"{""legacy_a"": """", ""legacy_b"": """", ""legacy_c"": """", ""legacy_d"": """", ""extra_info"": """", ""topic_tags"": null, ""parent_exam"": null, ""legacy_table"": ""jee_questions"", ""question_type"": ""div1"", ""legacy_question"": """", ""legacy_solution"": ""https://app-content.cdn.examgoal.net/fly/@width/image/1li2zo69n/01b102a7-be2c-4ae0-b890-056d555e5ad1/93dbc8b0-fae6-11ed-a4a1-cd6e9d3b82d2/file-1li2zo69o.png?format=png"", ""importance_level"": ""core"", ""related_concepts"": null, ""jee_mains_relevance"": null, ""verification_level_2"": ""pending""}",2026-04-03T21:20:16.921550+05:30,2026-04-20T05:08:39.527914+05:30
019d5409-ba50-714b-805f-53052df48cd1,400ddf56-945e-4869-8cb2-adcbf55e66b9,"{""text"": ""The reagent(s) that can selectively precipitate $S^{2-}$ from a mixture of $S^{2-}$ and $SO_4^{2-}$ in aqueous solution is(are):"", ""image_url"": """"}","{""A"": {""text"": ""$CuCl_2$"", ""image_url"": """"}, ""B"": {""text"": ""$BaCl_2$"", ""image_url"": """"}, ""C"": {""text"": ""$Pb(OOCCH_3)_2$"", ""image_url"": """"}, ""D"": {""text"": ""$Na_2[Fe(CN)_5NO]$"", ""image_url"": """"}}",A,PYQ,2016,QEL,DBF-Inorganic_Chemistry_2,"{""difficulty"": """", ""extra_param"": """", ""additional_param"": ""2016_1""}","{""calc"": false, ""scary"": false, ""multi_concept"": false}","{""freq"": 0}",,pending,"{""legacy_a"": """", ""legacy_b"": """", ""legacy_c"": """", ""legacy_d"": """", ""extra_info"": """", ""topic_tags"": null, ""parent_exam"": null, ""legacy_table"": ""jee_questions"", ""question_type"": ""div8"", ""legacy_question"": """", ""legacy_solution"": """", ""importance_level"": ""core"", ""related_concepts"": null, ""jee_mains_relevance"": null, ""verification_level_2"": ""pending""}",2026-04-03T21:20:16.921550+05:30,2026-04-20T05:08:56.201995+05:30
019d5409-ba4e-700b-a6b6-a3b209bf273d,b812bce5-f3ac-4dd0-9ca1-3859a78c1807,"{""text"": ""An incandescent bulb has a thin filament of tungsten that is heated to high temperature by passing an electric current. The hot filament emits black-body radiation. The filament is observed to break up at random locations after a sufficiently long time of operation due to non-uniform evaporation of tungsten from the filament. If the bulb is powered at constant voltage, which of the following statement(s) is (are) true?"", ""image_url"": """"}","{""A"": {""text"": ""The temperature distribution over the filament is uniform"", ""image_url"": """"}, ""B"": {""text"": ""The resistance over small sections of the filament decreases with time"", ""image_url"": """"}, ""C"": {""text"": ""The filament emits more light at higher band of frequencies before it breaks up"", ""image_url"": """"}, ""D"": {""text"": ""The filament consumes less electrical power towards the end of the life of the bulb"", ""image_url"": """"}}","C,D",PYQ,2016,CRE,CRE-Current_and_Resistance,"{""difficulty"": """", ""extra_param"": """", ""additional_param"": ""2016_1""}","{""calc"": false, ""scary"": false, ""multi_concept"": false}","{""freq"": 0}",,review,"{""legacy_a"": """", ""legacy_b"": """", ""legacy_c"": """", ""legacy_d"": """", ""extra_info"": """", ""topic_tags"": null, ""parent_exam"": null, ""legacy_table"": ""jee_questions"", ""question_type"": ""div8"", ""legacy_question"": """", ""legacy_solution"": """", ""importance_level"": ""core"", ""related_concepts"": null, ""jee_mains_relevance"": null, ""verification_level_2"": ""pending""}",2026-04-03T21:20:16.921550+05:30,2026-04-20T05:08:36.914816+05:30
019d5409-bc70-773c-ad2c-14f667c60463,cbcb70bb-c8d3-42cc-9b6b-74e89e6a983d,"{""text"": ""Let $z = \\frac{-1 + \\sqrt{3}i}{2}$, where $i = \\sqrt{-1}$, and $r, s \\in \\{1, 2, 3\\}$. Let $P = \\begin{bmatrix} (-z)^r & z^{2s} \\\\ z^{2s} & z^r \\end{bmatrix}$ and $I$ be the identity matrix of order $2$. Then the total number of ordered pairs $(r, s)$ for which $P^2 = -I$ is ____________."", ""image_url"": """"}","{""A"": {""text"": """", ""image_url"": """"}, ""B"": {""text"": """", ""image_url"": """"}, ""C"": {""text"": """", ""image_url"": """"}, ""D"": {""text"": """", ""image_url"": """"}}",1,PYQ,2016,MTX,MTX-Linear_Algebra_2,"{""difficulty"": """", ""extra_param"": """", ""additional_param"": ""2016_1""}","{""calc"": false, ""scary"": false, ""multi_concept"": false}","{""freq"": 0}",,pending,"{""legacy_a"": """", ""legacy_b"": """", ""legacy_c"": """", ""legacy_d"": """", ""extra_info"": """", ""topic_tags"": null, ""parent_exam"": null, ""legacy_table"": ""jee_questions"", ""question_type"": ""div2"", ""legacy_question"": """", ""legacy_solution"": """", ""importance_level"": ""core"", ""related_concepts"": null, ""jee_mains_relevance"": null, ""verification_level_2"": ""pending""}",2026-04-03T21:20:17.646035+05:30,2026-04-20T05:09:00.793158+05:30
019d5409-bc72-72e0-a523-c8000099a3da,f25efc57-531e-48c3-b503-c77e22347fef,"{""text"": ""In the following monobromination reaction, the number of possible chiral products is:\n\n"", ""image_url"": ""https://lh3.googleusercontent.com/d/1NErJPW7DGB_QTw5s44hjP9QB8DtzMh6z=w1200""}","{""A"": {""text"": """", ""image_url"": """"}, ""B"": {""text"": """", ""image_url"": """"}, ""C"": {""text"": """", ""image_url"": """"}, ""D"": {""text"": """", ""image_url"": """"}}",5,PYQ,2016,OCP,OCP-Organic_Chemistry_3,"{""difficulty"": """", ""extra_param"": """", ""additional_param"": ""2016_1""}","{""calc"": false, ""scary"": false, ""multi_concept"": false}","{""freq"": 0}",,review,"{""legacy_a"": """", ""legacy_b"": """", ""legacy_c"": """", ""legacy_d"": """", ""extra_info"": """", ""topic_tags"": null, ""parent_exam"": null, ""legacy_table"": ""jee_questions"", ""question_type"": ""div2"", ""legacy_question"": ""https://app-content.cdn.examgoal.net/fly/@width/image/1li309zju/e4d3e588-926d-4ecc-84b4-d04a4a48c814/f27899a0-fae8-11ed-a992-d99894cdde4f/file-1li309zjv.png?format=png"", ""legacy_solution"": ""https://app-content.cdn.examgoal.net/fly/@width/image/1li309zju/e4d3e588-926d-4ecc-84b4-d04a4a48c814/f27899a0-fae8-11ed-a992-d99894cdde4f/file-1li309zjv.png?format=png"", ""importance_level"": ""core"", ""related_concepts"": null, ""jee_mains_relevance"": null, ""verification_level_2"": ""pending""}",2026-04-03T21:20:17.646035+05:30,2026-04-20T05:08:40.102228+05:30
019d5409-bc79-766c-bdb4-ce0f46ca846a,5cefebfd-75f5-4cbd-becd-18cbbbcce757,"{""text"": ""The crystalline form of borax has:"", ""image_url"": """"}","{""A"": {""text"": ""Tetranuclear $[B_{4}O_{5}(OH)_{4}]^{2-}$ unit"", ""image_url"": """"}, ""B"": {""text"": ""All boron atoms in the same plane"", ""image_url"": """"}, ""C"": {""text"": ""Equal number of $sp^{2}$ and $sp^{3}$ hybridised boron atoms"", ""image_url"": """"}, ""D"": {""text"": ""One terminal hydroxide per boron atom"", ""image_url"": """"}}","A, C, D",PYQ,2016,PBE,PBE-Inorganic_Chemistry_3,"{""difficulty"": """", ""extra_param"": """", ""additional_param"": ""2016_1""}","{""calc"": false, ""scary"": false, ""multi_concept"": false}","{""freq"": 0}",,review,"{""legacy_a"": """", ""legacy_b"": """", ""legacy_c"": """", ""legacy_d"": """", ""extra_info"": """", ""topic_tags"": null, ""parent_exam"": null, ""legacy_table"": ""jee_questions"", ""question_type"": ""div8"", ""legacy_question"": """", ""legacy_solution"": ""https://app-content.cdn.examgoal.net/fly/@width/image/1li2zyk4e/fa724541-4502-4402-b21e-ec7bdbf9ea31/b4a6e7e0-fae7-11ed-a992-d99894cdde4f/file-1li2zyk4f.png?format=png"", ""importance_level"": ""core"", ""related_concepts"": null, ""jee_mains_relevance"": null, ""verification_level_2"": ""pending""}",2026-04-03T21:20:17.646035+05:30,2026-04-20T05:08:42.887802+05:30
