id,explanation,solution_image_url,metadata
019d5409-ba2e-74aa-9824-a88c1c519db8,"$\pmb{\text{Step 1: Given inequality}}$

$$
4 \alpha x^2 + \frac{1}{x} \geq 1 \forall x > 0
$$

$\pmb{\text{Step 2: Rearrange the inequality}}$

$$
4 \alpha x^2 \geq 1 - \frac{1}{x}
$$

$$
4 \alpha \geq \left(\frac{1}{x^2} - \frac{1}{x^3}\right) \forall x > 0
$$

$\pmb{\text{Step 3: Define the function}}$

$$
f(x) = \frac{1}{x^2} - \frac{1}{x^3}
$$

$\pmb{\text{Step 4: Find the derivative}}$

$$
f'(x) = \frac{-2}{x^3} + \frac{3}{x^4} = 0
$$

$\pmb{\text{Step 5: Solve for critical points}}$

$$
x = \frac{3}{2}
$$

$\pmb{\text{Step 6: Substitute the critical point}}$

$$
4 \alpha \geq \left(\frac{1}{\left(\frac{3}{2}\right)^2} - \frac{1}{\left(\frac{3}{2}\right)^3}\right)
$$

$$
4 \alpha \geq \left(\frac{4}{9} - \frac{8}{27}\right)
$$

$\pmb{\text{Step 7: Simplify the expression}}$

$$
4 \alpha \geq \frac{12 - 8}{27} = \frac{4}{27}
$$

$$
\alpha \geq \frac{1}{27}
$$

$\pmb{\text{Step 8: Conclusion}}$

$\boxed{\frac{1}{27}}$",,{}
019d5409-ba39-7ac2-804e-699f6d5ba471,"$\pmb{\text{Step 1: Write the nuclear decay equation}}$
The $\beta^-$-decay of Boron-12 to an excited state of Carbon-12 is represented as:
$${}_5^{12}\text{B} \rightarrow {}_6^{12}\text{C}^* + e^- + \bar{\nu}_e$$

$\pmb{\text{Step 2: Calculate the total energy released (Q-value)}}$
The $Q$-value for $\beta^-$-decay is calculated using the difference in atomic masses. Note that the mass of Carbon-12 is exactly $12.000 \text{ u}$ by definition:
$$Q = [m({}_5^{12}\text{B}) - m({}_6^{12}\text{C})] \times 931.5 \text{ MeV}$$
$$Q = [12.014 - 12.000] \times 931.5 \text{ MeV}$$
$$Q = 0.014 \times 931.5 \text{ MeV} = 13.041 \text{ MeV}$$
This represents the total energy available if the decay were to reach the ground state of Carbon-12.

$\pmb{\text{Step 3: Calculate energy available for the decay products}}$
Since the Carbon nucleus is left in an excited state $4.041 \text{ MeV}$ above the ground state, the energy available to be shared as kinetic energy between the electron and the antineutrino is:
$$K_{\text{total}} = Q - E_{\text{excitation}}$$
$$K_{\text{total}} = 13.041 \text{ MeV} - 4.041 \text{ MeV} = 9.000 \text{ MeV}$$

$\pmb{\text{Step 4: Find the maximum kinetic energy of the } \beta\text{-particle}}$
In $\beta$-decay, the kinetic energy is shared between the $\beta$-particle and the antineutrino. The $\beta$-particle carries the maximum possible kinetic energy when the energy carried away by the antineutrino is negligible:
$$K_{\beta, \text{max}} = K_{\text{total}} = 9 \text{ MeV}$$

Therefore, the maximum kinetic energy of the $\beta$-particle is $\boxed{9}$.",,{}
019d5409-ba3f-7f62-adfd-6d2e0e1d73c0,"$\pmb{\text{Step 1: Calculate the number of lone pairs using valence electrons}}$
To find the number of lone pairs (LP) on the central atom, we use the formula based on the VSEPR theory:
$$\text{LP} = \frac{\text{Valence Electrons} - \text{Number of bonded atoms}}{2}$$
(Note: This formula applies to molecules with monovalent side atoms like Fluorine).

$\pmb{\text{Step 2: Evaluate each option}}$

$\bullet \quad \pmb{\text{(A) BrF}_5}$
Central atom $\text{Br}$ (Group 17) has 7 valence electrons. It is bonded to 5 fluorine atoms.
$$\text{LP} = \frac{7 - 5}{2} = 1 \text{ lone pair}$$
Geometry: Square pyramidal.


$\bullet \quad \pmb{\text{(B) ClF}_3}$
Central atom $\text{Cl}$ (Group 17) has 7 valence electrons. It is bonded to 3 fluorine atoms.
$$\text{LP} = \frac{7 - 3}{2} = 2 \text{ lone pairs}$$
Geometry: T-shaped.


$\bullet \quad \pmb{\text{(C) XeF}_4}$
Central atom $\text{Xe}$ (Group 18) has 8 valence electrons. It is bonded to 4 fluorine atoms.
$$\text{LP} = \frac{8 - 4}{2} = 2 \text{ lone pairs}$$
Geometry: Square planar.


$\bullet \quad \pmb{\text{(D) SF}_4}$
Central atom $\text{S}$ (Group 16) has 6 valence electrons. It is bonded to 4 fluorine atoms.
$$\text{LP} = \frac{6 - 4}{2} = 1 \text{ lone pair}$$
Geometry: See-saw.


$\pmb{\text{Conclusion:}}$
Both $\text{ClF}_3$ and $\text{XeF}_4$ possess exactly two lone pairs of electrons on their respective central atoms.

Therefore, the correct options are $\pmb{\boxed{B, C}}$.",,{}
019d5409-ba43-7efd-a940-b17d48ad44fd,"$\pmb{\text{Step 1: Understand the stability requirement}}$
Nuclei are stable when their $N/P$ ratio falls within the ""belt of stability."" For light nuclei ($Z < 20$), the stable ratio is approximately $1$. If a nucleus has an $N/P$ ratio less than $1$, it is $\pmb{\text{proton-rich}}$. To achieve stability, the nucleus must undergo a process that $\pmb{\text{increases the number of neutrons}}$ or $\pmb{\text{decreases the number of protons}}$.



$\pmb{\text{Step 2: Evaluate Positron Emission (Option D)}}$
In $\beta^+$-decay (positron emission), a proton is converted into a neutron, a positron, and a neutrino:
$${}_1^1p \rightarrow {}_0^1n + {}_{+1}^0e + \nu$$
This process reduces $P$ and increases $N$, thereby $\pmb{\text{increasing the } N/P \text{ ratio}}$ toward stability. $\pmb{\text{(Option D is correct)}}$.

$\pmb{\text{Step 3: Evaluate Electron Capture (Option B)}}$
In orbital or K-electron capture, the nucleus captures an inner-shell electron, which combines with a proton to form a neutron:
$${}_1^1p + {}_{-1}^0e \rightarrow {}_0^1n + \nu$$
Like positron emission, this process reduces $P$ and increases $N$, $\pmb{\text{increasing the } N/P \text{ ratio}}$. $\pmb{\text{(Option B is correct)}}$.

$\pmb{\text{Step 4: Evaluate other options}}$
$\bullet \quad$ $\pmb{\beta^-\text{-decay:}}$ Converts a neutron to a proton, further $\pmb{\text{decreasing}}$ the $N/P$ ratio. (Incorrect)
$\bullet \quad$ $\pmb{\text{Neutron emission:}}$ Directly $\pmb{\text{decreases}}$ the number of neutrons, further decreasing the $N/P$ ratio. (Incorrect)

Therefore, the correct options are $\pmb{\boxed{B, D}}$.",,{}
019d5409-ba4b-774b-b60c-fd0f9371b7b6,"$\pmb{\text{Step 1: Analyze each complex}}$

$\bullet$ $\left[\mathrm{Ni}(\mathrm{CO})_4\right]$: $\mathrm{CO}$ is a strong field ligand, causing pairing of electrons. Diamagnetic.
$\bullet$ $\left[\mathrm{NiCl}_4\right]^{2-}$: $\mathrm{Ni}^{2+}$, $\mathrm{Cl}^-$ is a weak field ligand, high spin, 2 unpaired electrons. Paramagnetic.
$\bullet$ $\left[\mathrm{Co}\left(\mathrm{NH}_3\right)_4 \mathrm{Cl}_2\right] \mathrm{Cl}$: $\mathrm{NH}_3$ is a strong field ligand, low spin, diamagnetic.
$\bullet$ $\mathrm{Na}_3\left[\mathrm{CoF}_6\right]$: $\mathrm{F}^-$ is a weak field ligand, high spin, 4 unpaired electrons. Paramagnetic.
$\bullet$ $\mathrm{Na}_2\mathrm{O}_2$: $\mathrm{O}_2^{2-}$, molecular orbital configuration shows no unpaired electrons. Diamagnetic.
$\bullet$ $\mathrm{CsO}_2$: $\mathrm{O}_2^-$, molecular orbital configuration shows 1 unpaired electron. Paramagnetic.

$\pmb{\text{Step 2: Count paramagnetic compounds}}$

There are 3 paramagnetic compounds: $\left[\mathrm{NiCl}_4\right]^{2-}$, $\mathrm{Na}_3\left[\mathrm{CoF}_6\right]$, $\mathrm{CsO}_2$.

$\pmb{\text{Conclusion:}}$

Therefore, the correct answer is $\boxed{3}$.",,{}
019d5409-ba50-714b-805f-53052df48cd1,"$\pmb{\text{Step 1: Analyze the criteria for selective precipitation}}$
Selective precipitation occurs when a reagent forms an insoluble salt with only one of the ions in a mixture while the other remains dissolved in the aqueous solution.

$\pmb{\text{Step 2: Evaluate Option (A) } CuCl_2}$
- With $S^{2-}$: Forms $\text{CuS}$, a black precipitate that is highly insoluble ($K_{sp} \approx 10^{-37}$).
- With $SO_4^{2-}$: Forms $\text{CuSO}_4$, which is highly soluble in water.
Since only the sulfide precipitates, $CuCl_2$ is a selective reagent. $\pmb{\text{(Option A is correct)}}$.

$\pmb{\text{Step 3: Evaluate Option (B) } BaCl_2}$
- With $S^{2-}$: Forms $\text{BaS}$, which is soluble in water.
- With $SO_4^{2-}$: Forms $\text{BaSO}_4$, a white precipitate.
This reagent selectively precipitates sulfate, not sulfide. $\pmb{\text{(Option B is incorrect)}}$.

$\pmb{\text{Step 4: Evaluate Option (C) } Pb(OOCCH_3)_2}$
- With $S^{2-}$: Forms $\text{PbS}$, a black precipitate.
- With $SO_4^{2-}$: Forms $\text{PbSO}_4$, a white precipitate.
Because both ions form precipitates with Lead(II) ions, it is not a selective reagent for a mixture of the two. $\pmb{\text{(Option C is incorrect)}}$.

$\pmb{\text{Step 5: Evaluate Option (D) } Na_2[Fe(CN)_5NO]}$
This is Sodium Nitroprusside, used as a colorimetric test for sulfides. It reacts with $S^{2-}$ to form a purple-colored complex $[Fe(CN)_5NOS]^{4-}$, but it does not produce a precipitate. $\pmb{\text{(Option D is incorrect)}}$.

Therefore, the correct answer is $\boxed{A}$.",,{}
019d5409-ba4e-700b-a6b6-a3b209bf273d,"$\pmb{\text{Step 1:}}$ Because of non-uniform evaporation at different sections, the area of cross-section would be different at different sections. $\pmb{\text{Step 2:}}$ Region of highest evaporation rate would have rapidly reduced area and would become break-up cross-section. $\pmb{\text{Step 3:}}$ Resistance of the wire as a whole increases with time. Overall resistance increases hence power decreases. $\pmb{\text{Step 4:}}$ $p = \frac{{V^2}}{R}$ or $p \propto \frac{1}{R}$ as V is constant. $\pmb{\text{Step 5:}}$ At break-up junction, temperature would be highest, thus light of the highest band frequency would be emitted at those cross-sections. $\pmb{\text{Step 6:}}$ The filament emits more light at higher band of frequencies before it breaks up and the filament consumes less electrical power towards the end of the life of the bulb. $\boxed{\text{C,D}}$",,{}
019d5409-bc70-773c-ad2c-14f667c60463,"$\pmb{\text{Step 1: Identify the complex number } z}$
The given value $z = \frac{-1 + i\sqrt{3}}{2}$ is the complex cube root of unity, commonly denoted as $\omega$.
Recall properties: $\omega^3 = 1$ and $1 + \omega + \omega^2 = 0$.

$\pmb{\text{Step 2: Express the matrix } P}$
$$P = \begin{bmatrix} (-\omega)^r & \omega^{2s} \\ \omega^{2s} & \omega^r \end{bmatrix}$$

$\pmb{\text{Step 3: Calculate } P^2}$
$$P^2 = \begin{bmatrix} (-\omega)^r & \omega^{2s} \\ \omega^{2s} & \omega^r \end{bmatrix} \begin{bmatrix} (-\omega)^r & \omega^{2s} \\ \omega^{2s} & \omega^r \end{bmatrix}$$
$$P^2 = \begin{bmatrix} (-\omega)^{2r} + \omega^{4s} & (-\omega)^r \omega^{2s} + \omega^{2s} \omega^r \\ \omega^{2s} (-\omega)^r + \omega^r \omega^{2s} & \omega^{4s} + \omega^{2r} \end{bmatrix}$$
$$P^2 = \begin{bmatrix} \omega^{2r} + \omega^{4s} & \omega^{r+2s}((-1)^r + 1) \\ \omega^{r+2s}((-1)^r + 1) & \omega^{4s} + \omega^{2r} \end{bmatrix}$$

$\pmb{\text{Step 4: Compare with } -I}$
Given $P^2 = -I = \begin{bmatrix} -1 & 0 \\ 0 & -1 \end{bmatrix}$, we get two equations:
1. $\omega^{2r} + \omega^{4s} = -1$
2. $\omega^{r+2s}((-1)^r + 1) = 0$

$\pmb{\text{Step 5: Solve for } r}$
From equation (2), since $\omega^{r+2s} \neq 0$, we must have:
$$(-1)^r + 1 = 0 \implies (-1)^r = -1$$
This implies $r$ must be an odd number. Given $r \in \{1, 2, 3\}$, the possible values for $r$ are $1$ and $3$.

$\pmb{\text{Step 6: Solve for } s \text{ based on } r}$
**Case 1: $r = 1$**
Substitute $r = 1$ into equation (1):
$$\omega^{2(1)} + \omega^{4s} = -1 \implies \omega^2 + \omega^{4s} = -1$$
Since $1 + \omega + \omega^2 = 0$, we know $\omega^2 + \omega = -1$.
So, $\omega^{4s} = \omega^1 = \omega^{3k+1}$.
For $s \in \{1, 2, 3\}$:
- If $s=1$, $\omega^4 = \omega$ (True)
- If $s=2$, $\omega^8 = \omega^2$ (False)
- If $s=3$, $\omega^{12} = 1$ (False)
So, $(r, s) = (1, 1)$ is a solution.

**Case 2: $r = 3$**
Substitute $r = 3$ into equation (1):
$$\omega^{2(3)} + \omega^{4s} = -1 \implies \omega^6 + \omega^{4s} = -1$$
Since $\omega^6 = 1$:
$$1 + \omega^{4s} = -1 \implies \omega^{4s} = -2$$
This is impossible for any $s$ because the magnitude of $\omega^{4s}$ is always $1$.

$\pmb{\text{Step 7: Conclusion}}$
The only ordered pair $(r, s)$ is $(1, 1)$.
Therefore, the total number of ordered pairs is $\boxed{1}$.",,{}
019d5409-bc72-72e0-a523-c8000099a3da,"$\pmb{\text{Step 1: Analyze the starting material}}$
The starting material is enantiomerically pure $(2S)$-2-bromopentane. It has one chiral center at $C_2$. During monobromination, we must consider substitution at every unique carbon atom ($C_1$ to $C_5$).

$\pmb{\text{Step 2: Bromination at different carbon positions}}$

$\bullet \quad \pmb{\text{Substitution at } C_1:}$ This yields 1,2-dibromopentane. The $C_2$ chiral center remains intact. This is a $\pmb{\text{chiral}}$ product (1 product).

$\bullet \quad \pmb{\text{Substitution at } C_2:}$ Bromination at the existing chiral center involves a free radical intermediate that is planar. Attack from either side leads to a gem-dibromide (2,2-dibromopentane). This molecule has a plane of symmetry and is $\pmb{\text{achiral}}$ (0 chiral products).

$\bullet \quad \pmb{\text{Substitution at } C_3:}$ This creates a new chiral center at $C_3$ while $C_2$ remains chiral. This results in a pair of diastereomers: $(2S, 3R)$ and $(2S, 3S)$. Both are $\pmb{\text{chiral}}$ (2 products).

$\bullet \quad \pmb{\text{Substitution at } C_4:}$ This creates a new chiral center at $C_4$. This results in another pair of diastereomers: $(2S, 4R)$ and $(2S, 4S)$. One of these might be a meso compound if the molecule were symmetrical, but here it is not. However, we must check for symmetry: 2,4-dibromopentane can exist as a meso form. In the $(2S, 4R)$ configuration, there is an internal plane of symmetry, making it $\pmb{\text{achiral (meso)}}$. The $(2S, 4S)$ configuration remains $\pmb{\text{chiral}}$. Thus, only $\pmb{1}$ chiral product is counted from this position.

$\bullet \quad \pmb{\text{Substitution at } C_5:}$ This yields 1,4-dibromopentane. The $C_2$ chiral center remains intact. This is a $\pmb{\text{chiral}}$ product (1 product).

$\pmb{\text{Step 3: Total Count}}$
Summing the chiral products from each position:
- $C_1$: 1
- $C_2$: 0
- $C_3$: 2
- $C_4$: 1
- $C_5$: 1
Total = $1 + 0 + 2 + 1 + 1 = 5$.

Therefore, the total number of possible chiral products is $\boxed{5}$.",https://lh3.googleusercontent.com/d/11ZLvFY5hgJ3V1GLW_tuCpWvyZrG11oYW=w1200,{}
019d5409-bc79-766c-bdb4-ce0f46ca846a,"$\pmb{\text{Step 1: Analyze the actual formula of Borax}}$
Borax is usually written as $Na_{2}B_{4}O_{7} \cdot 10H_{2}O$, but its structural formula is $Na_{2}[B_{4}O_{5}(OH)_{4}] \cdot 8H_{2}O$. The anionic part is a $\pmb{\text{tetranuclear unit}}$ $[B_{4}O_{5}(OH)_{4}]^{2-}$. $\pmb{\text{(Option A is correct)}}$.

2-]

$\pmb{\text{Step 2: Determine hybridization of Boron atoms}}$
In the $[B_{4}O_{5}(OH)_{4}]^{2-}$ unit:
$\bullet \quad$ Two Boron atoms are bonded to four oxygen atoms, making them $\pmb{sp^{3}}$ $\pmb{\text{hybridised}}$.
$\bullet \quad$ The other two Boron atoms are bonded to three oxygen atoms, making them $\pmb{sp^{2}}$ $\pmb{\text{hybridised}}$.
Since there are two of each, there is an $\pmb{\text{equal number}}$ of $sp^{2}$ and $sp^{3}$ Boron atoms. $\pmb{\text{(Option C is correct)}}$.

$\pmb{\text{Step 3: Analyze the geometry and attachments}}$
$\bullet \quad$ Because of the mixture of tetrahedral ($sp^{3}$) and trigonal planar ($sp^{2}$) geometries, $\pmb{\text{not all boron atoms}}$ lie in the same plane. $\pmb{\text{(Option B is incorrect)}}$.
$\bullet \quad$ Each of the four Boron atoms is bonded to one terminal $-OH$ group. Thus, there is $\pmb{\text{one terminal hydroxide per boron atom}}$. $\pmb{\text{(Option D is correct)}}$.

Therefore, the correct options are $\pmb{\boxed{A, C, D}}$.",https://lh3.googleusercontent.com/d/1HEE5De0YbidV6M4waE3dwyKKa8JBVHbG=w1200,{}
